artifact_status	superseded_by	supersession_reason	compartment	compartment_label	window_days	omitted_trip	n_site_campaigns	estimate_per_mm	ci_low	ci_high	p
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	7	1	144	0.5446912520298923	-2.90345114792515	3.9928336519849346	0.7568584621656611
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	7	2	194	-0.05981735353331545	-0.11123793513848362	-0.008396771928147279	0.022606612923204216
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	7	3	140	-0.046417216286609386	-0.10087629572706855	0.008041863153849783	0.09481256639685537
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	7	4	138	-0.05405842059087891	-0.11039281102156803	0.002275969839810217	0.06000194225774452
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	7	5	176	-0.06930746140375257	-0.12284769691890784	-0.01576722588859731	0.011175595837215273
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	10	1	144	0.038719243140413834	-0.037807479511239264	0.11524596579206693	0.32136447925520195
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	10	2	194	-0.036224944032917435	-0.06917877744250733	-0.003271110623327543	0.03119967081552954
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	10	3	140	-0.02989553336149363	-0.06946173037719572	0.009670663654208461	0.13862926554676472
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	10	4	138	-0.045821788903096114	-0.09346629037636489	0.0018227125701726563	0.059432187900982404
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	10	5	176	-0.044776661058079696	-0.07852203439765501	-0.011031287718504375	0.009304140134964903
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	14	1	144	0.013910880879133641	-0.041442419037825313	0.06926418079609259	0.6223234647191231
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	14	2	194	-0.02259492552214598	-0.055939480625419556	0.010749629581127594	0.1841417388836588
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	14	3	140	-0.02742768442400574	-0.06639027758101299	0.011534908733001496	0.1676744170949881
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	14	4	138	-0.028166034904879653	-0.06695186254742104	0.01061979273766173	0.15464513152268647
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	14	5	176	-0.024941851284005966	-0.05841051347763439	0.008526810909622456	0.14411866459493
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	30	1	144	0.008239257579390681	-0.0489048282374558	0.06538334339623716	0.7774871098858147
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	30	2	194	-0.027009832290063436	-0.06179125778670493	0.0077715932065780605	0.12800210079080038
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	30	3	140	-0.02722331103147159	-0.06510229233261028	0.0106556702696671	0.1589505412868678
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	30	4	138	-0.03984697590533261	-0.0784797162425723	-0.001214235568092914	0.04322119865664624
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	30	5	176	-0.028656473563124184	-0.06405566815332517	0.006742721027076803	0.11259498356514704
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	1	1	155	-3.949992317847606e-12	-2.0114615390440636e-11	1.2214630754745424e-11	0.6319831573652225
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	1	2	205	0.10321642843762366	-0.3527055507715482	0.5591384076467956	0.657246965937476
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	1	3	156	0.07775349436560819	-0.3613161925454283	0.5168231812766446	0.7285282383211998
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	1	4	152	0.20667717496867488	-0.3923076549719141	0.8056620049092639	0.49886462792006003
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	1	5	176	0.07903894161235869	-0.34417810881315597	0.5022559920378733	0.7143367975552717
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	3	1	155	-3.949992317847606e-12	-2.0114615390440636e-11	1.2214630754745424e-11	0.6319831573652225
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	3	2	205	0.19456932489443707	0.03859359583603489	0.35054505395283925	0.014488249911125455
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	3	3	156	0.20544929299700998	0.06913145869814627	0.34176712729587366	0.0031375609971501864
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	3	4	152	0.21816441168990353	0.023406784933458852	0.4129220384463482	0.028126271883416185
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	3	5	176	0.18983434934742682	0.04269104716888836	0.33697765152596526	0.011451417046757405
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	7	1	155	0.6949527320150088	-3.298411069310574	4.688316533340592	0.7330384934507199
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	7	2	205	-0.022637036250125624	-0.07661636542103212	0.03134229292078086	0.4111109832737875
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	7	3	156	-0.031116509682496185	-0.092542122123912	0.030309102758919626	0.32077656076728234
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	7	4	152	0.005895198135365959	-0.04782187679897742	0.059612273069709336	0.8296917746793284
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	7	5	176	-0.028240636298449882	-0.08263710132909349	0.02615582873219373	0.3088961677980493
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	10	1	155	0.05797063578479562	-0.01650927305951983	0.13245054462911107	0.12713022609359814
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	10	2	205	-0.005782674101458761	-0.058467947795805573	0.046902599592888054	0.8296711434742123
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	10	3	156	-0.014504336979103562	-0.07608696314736518	0.04707828918915806	0.6443514479561816
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	10	4	152	0.007812932093700029	-0.04867579998928938	0.06430166417668944	0.786328141704919
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	10	5	176	-0.010714104601876134	-0.06313303768700557	0.041704828483253305	0.6887113507549504
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	14	1	155	0.04379995282653114	-0.011119626982254847	0.09871953263531713	0.11802250327706086
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	14	2	205	0.006906067671003674	-0.02653971688568661	0.040351852227693955	0.6856950770454151
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	14	3	156	-0.012978934331670994	-0.07409722901958384	0.04813936035624185	0.6772539675372555
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	14	4	152	0.014457914588165467	-0.020927763462697712	0.04984359263902864	0.4232451334734897
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	14	5	176	0.005881602568100195	-0.02692325873217467	0.03868646386837506	0.7252859742217032
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	30	1	155	0.028819339162191874	-0.013046269720671872	0.07068494804505562	0.17727436613960057
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	30	2	205	-0.0019987133541896347	-0.03100458259739267	0.0270071558890134	0.8925678841251675
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	30	3	156	-0.018577763291721876	-0.07470306606999569	0.03754753948655193	0.5164947189948921
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	30	4	152	-0.003107784278522237	-0.0352980184947284	0.029082449937683927	0.8499177358912664
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	30	5	176	-0.0013492778120976524	-0.03400273271610875	0.03130417709191344	0.9354515466427911
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	1	1	174	1.2026549422844445e-11	-7.55568547263011e-12	3.1608784318319e-11	0.22869632003078955
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	1	2	217	0.16984945538175447	-0.36999214845059203	0.7096910592141009	0.5374588977283753
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	1	3	168	0.19107246389416233	-0.3651764951209424	0.7473214229092671	0.5007876435145542
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	1	4	166	0.16006522307915522	-0.32963803378710926	0.6497684799454198	0.5217584920650052
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	1	5	171	0.15955118223657014	-0.3705541245650099	0.6896564890381502	0.555250800604915
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	3	1	174	1.2026549422844445e-11	-7.55568547263011e-12	3.1608784318319e-11	0.22869632003078955
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	3	2	217	-0.0191311070769988	-0.23999099893428374	0.20172878478028614	0.8651878267172114
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	3	3	168	0.01201033063262795	-0.21592614200697569	0.23994680327223156	0.9177458437945794
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	3	4	166	-0.05340362394696685	-0.2485273716119114	0.1417201237179777	0.591665129012532
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	3	5	171	-0.04470101003301096	-0.23701879977975351	0.14761677971373158	0.6487061229084843
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	7	1	174	-14.582939060560237	-26.59844475459208	-2.5674333665283946	0.017370860069071927
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	7	2	217	-0.018207639426609638	-0.06738991933847766	0.030974640485258383	0.46808831996843037
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	7	3	168	-0.021090366356749324	-0.07567280050380819	0.03349206779030954	0.44885828734148037
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	7	4	166	-0.016145777348231364	-0.061030934468406	0.028739379771943272	0.48079489731786273
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	7	5	171	-0.0207268433198469	-0.07207698473126323	0.030623298091569426	0.42887689472395396
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	10	1	174	0.08238120191146492	0.009163783713525109	0.15559862010940473	0.02743514131728524
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	10	2	217	0.006743905733778082	-0.04107725988572601	0.054565071353282174	0.7822401793951532
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	10	3	168	-0.00633187507301948	-0.06125721310547646	0.0485934629594375	0.8212421926494393
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	10	4	166	-0.003127185562859798	-0.04953534374759272	0.04328097262187312	0.894928146950173
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	10	5	171	0.006396384518750645	-0.043413070574362736	0.056205839611864025	0.8012784905382426
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	14	1	174	0.04461526460611404	-0.006427061590817115	0.0956575908030452	0.08668080127188314
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	14	2	217	0.011472444126772494	-0.023908114154412394	0.04685300240795738	0.5250796541766721
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	14	3	168	-0.0038608897236926815	-0.060525290707985374	0.05280351126060001	0.8937629729409744
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	14	4	166	0.006720047798703197	-0.029551511141074367	0.042991606738480764	0.7165127082804852
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	14	5	171	0.009839032244025426	-0.02513796305365144	0.04481602754170229	0.5814019504275623
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	30	1	174	0.041145155509831804	-0.012776682826256255	0.09506699384591986	0.13476990866404498
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	30	2	217	0.012154324611464304	-0.019670264146087822	0.04397891336901643	0.45413335496076657
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	30	3	168	-0.011501604307988467	-0.06262118564944387	0.039617977033466936	0.6592272320873853
